,scenario_nr,driving_time,number arrived vehicles
0,scenario0,114.30388575224178,24088
1,scenario0,113.83507853403141,24066
2,scenario0,113.72819363141944,24087
3,scenario0,114.68910841773203,24092
4,scenario0,114.16093289621115,24097
5,scenario0,114.84058091286308,24100
6,scenario0,113.81754094961641,24115
7,scenario0,113.86536625855987,24095
8,scenario0,113.70899514784556,24113
9,scenario0,114.34993566596107,24093
10,scenario1,114.30388575224178,24088
11,scenario1,113.83507853403141,24066
12,scenario1,113.72819363141944,24087
13,scenario1,114.68910841773203,24092
14,scenario1,114.16093289621115,24097
15,scenario1,114.84058091286308,24100
16,scenario1,113.81754094961641,24115
17,scenario1,114.12438781439363,24094
18,scenario1,113.70899514784556,24113
19,scenario1,114.34993566596107,24093
20,scenario2,114.30388575224178,24088
21,scenario2,119.62154971732623,24056
22,scenario2,115.93001619803131,24077
23,scenario2,115.2442710063102,24088
24,scenario2,114.84191084917407,24094
25,scenario2,159.50444806415237,23943
26,scenario2,124.07692627206646,24075
27,scenario2,120.69976732590992,24068
28,scenario2,115.80843913368186,24102
29,scenario2,121.8177966101695,24072
30,scenario3,141.80653224462588,24004
31,scenario3,129.64656679151062,24030
32,scenario3,133.2223655734976,24028
33,scenario3,158.72610693400168,23940
34,scenario3,128.29393409885174,24036
35,scenario3,184.184793998072,23859
36,scenario3,169.38738399799348,23922
37,scenario3,152.92322464826952,23953
38,scenario3,128.5152497299094,24066
39,scenario3,126.30539394946808,24064
40,scenario4,224.49643474958862,23701
41,scenario4,299.1533797344037,23419
42,scenario4,187.49609473418997,23814
